"113.792564,28.218279",古风洞
"131.211448,46.487525",五尖山国家森林公园
"112.938814,28.228209",长沙飞越丛林
0.0,飞天山
"109.603865,27.949937",凤凰古城风雨苗疆桃花岛大型原生态篝火晚会
"112.948097,28.121325",洋湖湿地公园
0.0,《烟雨张家界》
"110.290382,28.517874",二酉山
0.0,天岳幕阜山
"109.530596,28.789959",凤凰山江苗寨
"121.657291,42.008723",太平街历史文化街
0.0,苗王城
"113.804630,27.220141",株洲白龙洞
"113.980873,22.833187",烈士公园
"112.469307,27.890165",韶峰
0.0,天问台
"97.112831,31.468811",老道湾旅游度假区
"109.843700,28.979651",永顺野溪温泉
"109.031151,28.139250",矮寨悬崖玻璃栈道
"121.109917,31.460739",洋沙湖湿地公园
"112.484744,26.287111",常宁百万樱花园
"114.107979,28.310663",仙姑岩
"111.584534,25.182678",沱江
"112.979446,28.173655",仰天湖
"109.282959,28.483570",抗战古村阳雀坡
"120.172401,27.248127",神仙洞景区
"108.406876,32.006790",营盘寨
"112.694868,28.827146",岳阳洞庭湖欢乐世界
"110.573234,27.705333",溆浦穿岩山国家森林公园
"111.447273,28.787348",《桃花源记》
"113.014095,25.852167",郴州国际会展酒店温泉
"112.864018,27.225530",衡山花果山
0.0,西洞庭湖
"105.302628,33.161690",天子山
"109.274338,28.500636",湘西边城风情小镇
"113.057378,25.777307",郴州新田汉演艺中心
0.0,毛泽东图书馆
0.0,醴陵瓷谷
"109.600204,27.945315",凤凰原生态民俗风情晚会
"110.479191,29.117096",张家界地貌5D体验馆
"104.744507,31.455023",桃花岛苗俗度假村
"121.109917,31.460739",洋沙湖欢乐水世界
"111.676044,29.052453",常德艾肯梦想城
"109.600459,27.944519",凤凰原生态民俗篝火晚会
"109.490097,26.224020",猛洞河漂流
"112.696899,27.293718",祝融峰
"114.697487,34.144791",杜甫祠堂
"119.471657,30.241816",袁家界风景区
0.0,德夯大峡谷
"112.687291,26.927790",衡阳南湖公园
"112.423523,28.182167",炭河里青铜文化博物馆
"116.399368,39.895996",火宫殿
"112.236938,22.632545",相思山
"113.615799,28.392887",浏阳凤凰峡漂流
0.0,天下第一桥
0.0,禾田居山谷
0.0,连云山峡谷漂流
0.0,帷幕开啦@星城蜡像馆
0.0,墨戎苗寨
0.0,紫霞岩
"114.522575,23.717239",天子湾风景区
"109.999059,27.557170",芷江佰瀑峡
0.0,三醉亭
"111.816683,27.518638",娄底飞水涯漂流
0.0,鬼谷栈道
0.0,月湖公园
"103.700691,38.890587",袁家寨子
0.0,苦竹河大峡谷
"109.490097,26.224020",猛洞河风景区
0.0,醴陵陶瓷基地
"104.457466,29.089590",飞虎队纪念馆
"109.604660,27.948249",湘西陈斗南宅院
0.0,龙景峡谷
"120.764250,30.742000",南湖
"109.181625,29.059261",酉水画廊
"110.355216,28.620051",沅陵酉水风情画廊
"110.459770,29.337061",金鞭溪
0.0,贾谊故宅
"113.706703,27.133396",皮佳洞仙境乐园
"114.135735,28.473155",浏阳狮口战地漂流
"112.979552,28.222438",开福寺
"109.600204,27.945315",幻•凤凰魔术剧院
"112.534808,27.897781",韶山红色年代记忆馆
"109.598381,28.320782",矮寨奇观旅游区
0.0,彭山旅游度假区
"109.471382,28.038790",山江博物馆
"113.003464,28.032966",长沙融城欢动世界
"113.257339,27.023991",鸭婆洲游乐场
0.0,舜源峰
"121.405983,31.211102",虹桥
0.0,杜甫墓
0.0,左宗棠纪念馆
"101.817810,37.075329",仙女散花
"111.663811,27.377048",潭府玫瑰园
"111.980042,25.397097",九嶷山国家森林公园【古舜庙】
"111.328773,25.356504",千家峒大泊水瀑布
"112.612724,26.904968",潇湘画卷
"112.983162,28.184909",长沙简牍博物馆
"109.458331,28.076340",湘西老家寨
0.0,古苗河大峡谷
0.0,茅岩河风景区
0.0,沈从文故居
0.0,挑战者游乐园
"110.206825,29.153147",茅岩河漂流
0.0,乾坤柱
"130.931992,44.021084",洞庭花海
"110.514465,29.368107",贺龙公园
0.0,鸿天康逸温泉山庄
"111.584534,25.182678",沱江跳岩
0.0,毛泽东的课桌
0.0,辣椒峰
"111.488925,28.902503",桃源谷景区
"113.979786,28.896588",岳阳平江石牛寨三峰猴王谷
"112.612724,26.904968",潇湘奇石馆
0.0,稻野寻湘景区
"112.983810,28.112444",湖南大佛岩
0.0,今遇快乐一站
"121.109917,31.460739",洋沙湖渔窑小镇
"110.480744,29.097328",张家界一线天
0.0,行歌·玩月实景演出
0.0,省立第―师范学校
"107.111023,26.062504",苦竹寨
"112.751020,27.272627",衡阳南岳水帘洞景区（内含飞拉达体验）
0.0,灰汤温泉职工疗养院
"116.028999,31.112230",乌龙寨
"114.522575,23.717239",天子山风景区
"112.983810,28.112444",湖南长鹿国际生态旅游度假区
0.0,钰龙湾商务会所
0.0,神农塔
0.0,炭河古城冰雪王国
"120.256554,36.343868",毛家食品
0.0,兔小狐动物主题公园
"115.244812,24.089468",东江大坝
"112.938814,28.228209",长沙旅行跟拍
"109.600204,27.945315",凤凰旅行跟拍
"112.861176,28.198882",长沙云顶星河游乐王国
"104.575478,29.155916",桐子坳景区
0.0,麦咭启蒙岛儿童乐园
0.0,笑工场
"113.119670,27.818600",株洲电视塔
"111.770721,29.068054",柳叶湖
0.0,趣味蜡像馆
"112.965191,28.140936",长沙南郊公园
"112.980843,28.185564",高正街
"112.888077,24.976210",莽山国家森林公园
0.0,沩山密印寺
"111.360510,28.231708",安化茶马古道风景区
"110.476446,29.113464",张家界云顶会
0.0,湘电灰汤温泉
"112.039154,28.216831",宁乡龙泉漂流
"113.210609,28.588358",杨开慧纪念馆
"113.287842,26.687963",稻田公园
"113.885696,28.078115",胡耀邦故居
"112.553018,27.729178",湘乡东山书院旅游区
"113.146361,28.513109",岳阳市任弼时纪念馆
0.0,光明松鼠谷
"113.584229,27.210566",株洲市酒仙湖景区
"110.521827,29.117159",张家界老院子
"130.949041,44.358111",阳明山国家森林公园
"110.471176,29.342841",张家界世界地质公园博物馆
"112.978004,35.878342",神农城炎帝文化主题公园
"113.033780,28.108672",长沙乐民水上乐园
"113.019592,28.456390",黑麋峰国家森林公园
0.0,纯溪小镇
"113.039901,28.295443",长沙乐水魔方水世界
"114.129700,28.549053",高椅古村
"112.995074,28.145262",长沙生态园林园
"105.794388,34.759388",云山
"112.021904,28.193031",沩山漂流
"113.593415,28.689289",岳阳平江连云山
0.0,橘子洲沙滩游乐园
"119.967072,30.123617",受降纪念馆
"113.620702,28.135629",浏阳飞天温泉度假区
"112.202690,27.457321",蔡和森纪念馆
"114.006699,33.388630",皇家湖生态旅游度假区
0.0,向警予纪念馆
"111.347868,25.273267",江永女书园
"99.368561,25.885111",云龙水上乐园
"117.940918,28.471796",秋收起义文家市会师纪念馆
0.0,三台山公园
"110.724052,35.289909",李家大院
0.0,悦来温泉
0.0,橘子洲江景温泉
"111.613445,26.420394",永州金洞
"112.938814,28.228209",长沙3D错觉艺术馆
"113.010422,28.183361",长沙港岛演艺中心
"112.861877,28.196981",长沙飞行体验馆
"111.547226,28.702169",花岩溪
"114.030083,28.403370",大围山峡谷漂流
"112.129128,28.495031",桃花江竹海
"111.608528,26.217628",柳子庙
0.0,中惠旅沩山温泉山庄
0.0,华谊兄弟（长沙）电影小镇
"113.564445,27.216518",酒埠江旅游区
0.0,城步南山牧场
0.0,沱龙峡漂流
"116.565407,39.826336",亚马逊水上乐园
"130.950991,47.474732",工农兵政府旧址
"114.128067,28.420286",大围山滑雪场
"121.487468,31.398589",宝山国家矿山公园
"110.023895,26.949087",高椅岭风景区
0.0,《大汉伊人》—大型汉文化旅游舞台情景剧
"121.147385,41.105072",城市海景水上乐园
0.0,橘子洲魔幻奇乐园
0.0,热气球
0.0,麓谷水上乐园
"113.747315,31.037880",云梦方舟水上乐园
"112.938814,28.228209",长沙博爱户外野炊乐园
"112.938814,28.228209",长沙-遇见北欧圣诞主题乐园
0.0,皇龙峡漂流
"113.161560,25.794435",郴州动漫水世界
0.0,天堂温泉
"118.757866,32.093849",诺亚方舟儿童职业体验馆
0.0,舞水风暴水上乐园
"113.066606,28.158650",长沙草莓音乐节
"99.397614,40.137939",三分石景区
"110.497907,38.857233",橘子洲灯展嘉年华
"111.680930,29.041930",常德冰雕艺术馆
0.0,东山峰滑雪场
"109.530596,28.789959",凤凰山
"112.938814,28.228209",长沙喜悦滑冰
0.0,东江湖凤凰岛
0.0,橘洲沙滩乐园户外温泉
"121.019440,31.397371",娄江漂流
"112.983810,28.112444",湖南屋脊漂流
"111.698502,28.955532",凤滩水力发电厂
0.0,皇龙大峡谷
"113.747315,31.037880",云梦方舟七色花洲
0.0,九龙峡漂流
"112.997690,28.034480",长沙生态动物园游乐场
"106.844681,22.174191",印山
"113.090775,29.332851",圣安古寺
"114.559937,24.036406",半江生态旅游温泉度假村
0.0,红辣椒自驾游护照
"113.021729,27.961788",昭山
"114.308929,22.597002",湖心岛
0.0,O境VR艺术展
0.0,天际岭
0.0,酒埠江亲水泳漂
"113.033780,28.108672",湖南中品水上乐园
"118.841637,32.340294",龙津风雨桥
"113.170180,25.788549",郴州柿竹园水上乐园
"110.600670,24.183914",西河梦幻水上乐园
"112.772783,27.917187",湘潭仙女山
0.0,影珠山
"117.446091,31.928196",浏河第一湾灯光秀
"118.041466,24.442411",象鼻山漂流
"111.741678,27.503311",涟源龙山国家森林公园
"109.322861,19.497845",大成山水水世界
"111.645344,27.269636",邵东龙潭水世界
"113.264636,27.832040",株洲锦绣谷生态园
"115.255264,32.001678",万楼
0.0,鸥兴海洋世界
"111.288366,25.270181",永州小古源漂流
0.0,罗溪瀑布
"109.484010,27.454357",芷江茅丛河漂流
"113.352631,26.997261",株洲神农城灯会
0.0,天龙峡
"117.922699,33.050671",小溪自然保护区
"113.462439,28.013630",《浏阳河上》
"110.479191,29.117096",张家界攀森（PASSION）国际汽车特技表演城
"113.530746,27.653399",醴陵李立三故居
"113.121475,26.119337",便江
"112.895935,28.213501",麓谷公园
"113.216761,29.465443",岳阳樱花园
"110.545348,29.351193",张家界湘府国际温泉度假酒店
"112.944049,27.829738",湘潭文庙
0.0,魏源故居
0.0,东方泉水疗会所
0.0,秦岩溶洞
"110.994716,27.129989",隆回泳乐汇水上乐园
"121.643333,37.475418",石马公园
"110.486953,29.111622",梦里张家界
"112.107155,28.985081",猴王寨风景区
"113.747315,31.037880",云梦方舟洞庭湖湿地体验馆
"110.561523,29.346983",索溪峪
"113.128958,29.357104",岳阳文庙
"129.646774,49.284485",乌云界峡谷漂流
0.0,小淘气儿童游乐园
0.0,东台山国家森林公园
"113.926325,22.523781",南山风景名胜区
0.0,万时山
"112.541524,28.243387",宁乡玉潭公园
"122.384613,41.785950",老西门剧场
0.0,天伦游泳
"113.021729,27.961788",昭山古寺
0.0,迥龙塔
"123.723732,43.299259",保利室内高尔夫生活馆
"118.205833,28.016392",齐白石纪念馆
"112.925713,24.950350",鬼子寨
0.0,毛泽东家世展
0.0,爱莲湖
"105.278183,29.245438",云顶会
"109.682892,26.578087",飞山寺
0.0,浔龙河樱花谷
"113.076304,28.243048",宁乡县想象力室内娱乐室
0.0,撒野湾景区
"111.477644,27.249683",双清公园
0.0,玉官岩
"112.993567,28.887905",汨罗屈原祠
0.0,凌云塔
"107.667435,29.615797",大木源漂流
"109.508110,28.298037",大龙洞风景区
"112.535212,27.898501",《日出韶山》
"110.462277,29.119562",张家界高尔夫俱乐部
0.0,飞水寨
"120.327225,36.061352",天后宫
"113.759979,25.046492",丹霞湖水上乐园
"110.995560,22.722141",大兵笑工厂
"112.962575,27.690719",湘潭梅林桥农业公园游乐园
"131.147949,43.392281",一线天
0.0,第五届中国（湖南）国际矿物宝石博览会
"114.014107,28.458630",大围山榴花洞漂流
"112.854350,29.513481",君山野生荷花世界
"108.641220,32.601555",天紫漂流
"112.713324,25.703207",桂阳樱花园
0.0,响水洞漂流
0.0,神秘湘西
"113.653976,28.438084",周洛漂流
"85.387611,28.897942",马拉河人体漂流
"120.566971,28.178459",金兰龙王峡漂流
0.0,白水洞
"112.788200,37.897400",欢乐地水上乐园
0.0,浏阳六叠泉漂流
"110.130372,29.330720",张家界苦竹河平湖游
0.0,西门峡漂流
0.0,黑龙潭地下峡谷漂流
"113.139733,27.835256",株洲湘江风光带
"112.788200,37.897400",欢乐岛水上乐园
"113.526890,26.784892",茶陵乐翔热气球飞行营地
0.0,沃湘•笑工场
"108.940174,34.341568",西安漂流
"119.390472,41.391956",热水河漂流
"113.342424,28.571879",长沙三珍虎园
"109.600204,27.945315",凤凰三祥四季苗族茶浴基地
"121.291634,29.127052",仰天湖草原风景区
"111.807774,27.229996",邵东怡卉园
"113.113719,27.858195",石峰公园
0.0,马儿山温泉
"113.671304,27.248266",株洲宝宁寺
"114.626785,24.223372",油溪河漂流
"121.380432,28.794477",天堂山
0.0,滴翠山庄恐龙展
"118.781281,32.061699",中国边城景区
0.0,阳明山
"114.568344,22.496620",大围山狂野水世界
"112.191170,28.158560",沩山风景名胜区
"111.025740,28.369346",益阳龙泉洞
"106.462502,29.552629",荆坪古文化村
"116.186398,28.486009",西湖公园
"112.927902,36.168312",大京
"113.598603,28.693174",平江起义纪念馆
0.0,蔡伦纪念馆
0.0,不二门
"113.770737,28.472757",福寿山森林公园
"109.702988,28.096344",万溶江漂流
"110.168297,29.481913",贺龙故居
0.0,雪国奇遇橘洲冰雪嘉年华
"111.619211,26.425187",永州加勒比欢乐水世界
0.0,绿心童乡亲子乐园
0.0,大围山黄石洞生态漂流
"109.609613,25.822210",三江苗寨
"113.802315,23.110216",桔洲公园
0.0,千龙湖生态旅游度假区
"120.776382,28.418795",鲤溪皮筏漂流
"113.028740,28.199781",万家丽世界名人蜡像馆
"111.478603,28.880451",桃源梦幻水世界
"114.465668,30.504074",关山三国体验馆
"112.863096,27.882942",湘潭大学
"112.534772,27.898326",韶山非物质文化遗产博览园
0.0,炎帝温泉
0.0,《梦里张家界》演出
"112.976562,28.190653",黄兴路步行街
"113.685646,25.530279",神农园
"113.840183,28.324307",浏阳加勒比水世界
"112.997108,28.194593",马王堆
"112.651222,26.857100",湘江
0.0,飞水寨南国天山大草原
"114.490181,36.586895",中华万寿大鼎
"111.320190,25.355293",上甘棠博物馆
"107.241318,25.845839",大别溪漂流
"112.943119,28.177444",湖南大学
"112.983810,28.112444",湖南旅游一卡通
"109.793236,26.140028",独岩公园
"112.888110,28.292075",长沙普瑞温泉
"113.119049,25.800880",沙滩公园
0.0,白沙井公园
"113.026934,25.799765",北湖公园
0.0,南华山国家森林公园
"100.235176,26.868940",古城博物馆
0.0,魏源温泉
"112.855698,26.407197",耒阳市党史陈列馆
"119.339844,26.013895",东门城楼
"112.548130,26.885349",衡阳保卫战纪念馆
"113.040199,25.773497",福地洞天篝火晚会
0.0,舜皇岩
"105.414185,28.723835",天仙风景区
0.0,麓山寺碑
0.0,哈尼小城
"111.474949,28.641731",常德新桃花源漂流
0.0,熊希龄故居
"120.630363,31.304264",万寿宫
"113.662410,28.882430",平江碧龙峡旅游景区
"114.113266,32.009418",杨家祠堂
"112.944049,27.829738",湘潭星空错觉艺术馆
"123.690102,41.752609",渔樵村
"111.838295,28.628143",洞庭湖游船
0.0,里耶古城遗址
0.0,锡岩仙洞
"104.092789,29.543764",石牛寨峡谷漂流
"113.167669,27.832583",株洲东湖公园
0.0,LOST真人密室逃脱
0.0,白沙井
"113.308954,28.839916",汨罗江
"114.090599,22.546400",嘉年华水上乐园
"113.122528,27.820436",炎帝广场
0.0,通道龙底河漂流
"116.546623,39.755661",神龙公园
"116.222221,39.910549",老山界景区
"116.349693,35.407955",城市规划展览馆
0.0,紫阳峰
0.0,宝庆十二景
0.0,集梦园度假村
0.0,鲁肃墓
0.0,野人谷
"113.911664,25.527981",汝城温泉文化园
"108.646629,26.379374",侗寨风情村
0.0,忠烈祠
"109.540581,29.067162",洗车河
0.0,女书绿岛
"113.032097,25.792870",义帝陵
0.0,孤峰塔
"106.211052,34.371059",观音崖
"121.139317,29.107957",天台景区
"113.409355,25.879353",东江湖黄草水上娱乐中心
"112.469307,27.890165",韶峰古寺
0.0,回雁阁
0.0,空灵岸
"113.028671,28.889442",屈子祠
0.0,慈氏塔
0.0,乱云奇峰
0.0,玉琯岩
"113.756981,28.300327",崇德堂
"113.831183,28.326385",浏阳万花卡通园
"126.767570,47.308777",稻花香里农耕文化园
"125.192328,46.455750",龙凤峡漂流
"112.613823,26.886932",回雁峰
0.0,永福寺
0.0,狙击手射击俱乐部
"112.593903,27.112091",岣嵝峰景区
"109.606809,27.948876",凤凰英伦蜡像馆
"111.691281,29.027764",常德诗墙博物馆
0.0,德昌公园
"106.462502,29.552629",皇都侗文化村
"99.952103,27.139660",燕子洞
0.0,紫霞观
"113.013386,28.194123",湖南中国航天展（长沙站）
"115.825279,33.328674",苗寨
0.0,五盖山狩猎场
0.0,高洲温泉
"113.066277,28.584263",玉池山
"112.805001,28.257902",长沙农家乐青天寨
0.0,王船山出生地纪念馆
"119.339844,26.013895",北门城楼
0.0,云麓宫
0.0,雁峰寺
"113.111855,29.362289",金鄂山公园
"113.009476,28.113482",长沙龅牙兔儿童情商乐园
0.0,半山亭
0.0,锦绣潇湘旅游卡
"110.548830,29.333646",张家界大鲵生物科技馆
"112.997948,28.189526",湖南大剧院
"111.880683,29.552328",常德灯光艺术节嘉年华
0.0,农夫生态草莓园
"112.608192,26.890663",岳屏公园
"108.317551,22.807590",乐儿乐儿童乐园（国贸店）
0.0,勾良苗寨
0.0,亲亲宝贝早教
0.0,毛泽东青年时代塑像
0.0,激流回旋
"113.445640,29.717647",临湘江南大漠
"113.117701,29.353665",岳阳乐园
0.0,林伯渠故居纪念馆
0.0,爸爸去哪儿动漫嘉年华
0.0,蚩尤部落民间蜡像展览馆
"126.553960,43.899955",龙潭瀑布
0.0,珠江源漂流
"114.075546,35.363930",柳庄
"111.442618,28.794377",常德桃花源西安漂流
"113.109481,26.117939",永兴人民公园
0.0,九龙山
"120.845825,32.002449",虹桥艺术馆
"110.188343,28.005865",辰溪剿匪胜利公园
0.0,岳平顶
0.0,夯吾苗寨
"111.336909,27.732974",新化狮子山公园
0.0,拉毫营盘石板寨
"109.874695,28.995928",坡子街
"111.940666,25.591020",宁远县文庙
"110.733267,29.438087",张家界龙王洞旅游景区
"112.356165,28.551673",益阳奥林匹克公园
"117.228294,30.024590",虎形山花瑶风景名胜区
"123.801552,41.850128",雷锋纪念馆
"112.657494,27.658562",彭德怀纪念馆
"98.967468,29.677322",罗荣桓故居
"112.355180,28.553860",益阳市山乡巨变第ᅳ村旅游区
"113.008514,28.195312",晓园公园
"116.647110,23.516996",仙乐乡村旅游区
"113.068810,28.275771",湖南工程学院
"105.149490,32.515961",壶瓶山
"109.730470,28.313690",湘西草堂
"112.979756,28.107531",湖南省文化馆
0.0,桃源洞
0.0,九龙井生态园
"113.028638,28.176792",长沙帕乐菲尔儿童乐园
0.0,茅浒水乡
0.0,猴子塔
"109.837318,34.117531",月岩
"113.106100,25.793962",郴州体育中心
"112.579862,29.537875",华容烈士陵园
"107.192101,29.244408",花乡农家乐旅游区
"113.596603,28.189993",道吾山
"112.944049,27.829738",湘潭农博园
0.0,汉回民俗文化景区
"112.983810,28.112444",湖南水府旅游区
"112.630452,24.471476",阳山古村
"112.373993,27.989271",东鹜山
"109.719533,26.555883",靖州文峰塔
0.0,河洑快乐谷
"123.253494,40.665810",龙家大院
0.0,回龙山旅游区
"113.157407,27.832216",芦淞服饰城购物旅游区
"114.242409,27.125444",象形风景区
0.0,五溪湖
"115.482841,22.834478",秀华山馆
"111.380014,29.584293",石门文庙
"112.944870,28.174717",湖南大学图书馆
"112.732370,27.235710",南岳财神村
"106.146820,38.484127",流芳园
0.0,侗文化城
"121.524742,22.078472",玉女岩
"111.692952,29.038467",常德市博物馆
0.0,林芳生态旅游村
"113.726105,27.989567",花炮博物馆
"110.016502,27.897047",黄桑自然保护区
"112.955986,22.150446",北峰山
"112.310864,28.779439",沅江胭脂湖
"101.061615,23.045826",东塔公园
0.0,龙华山
"102.658836,27.026375",红岩
"112.381699,28.805813",德群庄园
"110.392952,28.449757",龙兴讲寺
"112.906067,28.212906",长沙3D艺术嘉年华
"114.163825,22.276284",香港MAG环球3D魔幻馆（长沙站）
0.0,铜官古窑址
"109.447267,29.455215",龙山花海
"112.856436,25.698289",郴州小埠古村生态园
"112.938814,28.228209",长沙798红馆大型恐龙馆
"120.300896,31.575556",摩天轮游乐购物中心
0.0,16G真人密室体验馆
"108.011765,28.742764",快乐红馆探梦之旅
0.0,3D奇幻错觉艺术馆
0.0,绿世界真人CF镭战
0.0,浔龙河生态艺术小镇
"112.942619,34.152466",武庄花海主题公园
"120.337219,29.060759",上甘棠村
"110.351028,35.387337",贺龙体育馆游泳场
"112.938814,28.228209",长沙西塞密室
"113.094498,39.817482",云中之城
"108.011765,28.742764",快乐大本营快闪嘉年华
0.0,科幻魔方夜光5D艺术展
0.0,恐怖城
0.0,石柱峰
0.0,夜城陶艺
"115.378387,29.475920",书堂山
0.0,重返侏罗纪中国恐龙园
0.0,S Time真人密室逃脱（长沙店）
"109.352798,31.393497",老道湾水上乐园
0.0,趣你的3D嘉年华
0.0,樱木病院真人鬼屋
"119.268883,29.469591",月亮岛
"113.226255,28.188700",长沙机场
"112.937755,27.845697",湘潭海天龙水上乐园
"108.735481,30.182426",飞水洞
"112.355180,28.553860",益阳古巷
"113.049597,28.234365",湖南国际会展中心
"112.861144,28.198237",长沙乐千瑞游乐园
0.0,热水溪温泉
"111.328773,25.356504",千家峒
"110.479191,29.117096",张家界真人密室逃脱
"113.029297,28.169159",安然纳米汗蒸馆（高桥店）
"110.547975,29.332306",梦幻张家界
0.0,韩国5D动感体验馆
0.0,大围山香薰花海
0.0,天龙瀑布
